Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
02.01.2020|15.873|12.991|5.664|17.461|23.388|3.260|3.401|25.410|29.955|2.914|3.413|7.701|1.635|6.567|31.795|18.561|20.870|1.957|1.202|5.554|2.582|15.198|44.697|5.972|5.314|36.716|2.426|16.845|75.296|3.810|22.702|31.393|1.613
03.01.2020|15.821|12.968|5.599|17.530|23.396|3.264|3.393|25.360|29.797|2.925|3.406|7.673|1.634|6.542|31.699|18.524|21.039|1.950|1.199|5.547|2.579|15.169|44.508|5.968|5.306|36.690|2.418|16.857|75.452|3.809|22.753|31.490|1.593
06.01.2020|15.696|12.935|5.566|17.413|23.317|3.243|3.385|25.300|29.687|2.909|3.387|7.675|1.621|6.501|31.426|18.427|20.910|1.933|1.197|5.507|2.569|15.071|44.194|5.965|5.299|36.452|2.402|16.744|74.963|3.782|22.601|31.219|1.586
07.01.2020|15.553|12.921|5.541|17.408|23.299|3.259|3.382|25.275|29.675|2.911|3.393|7.630|1.631|6.527|31.489|18.409|20.864|1.941|1.199|5.528|2.564|15.012|44.477|5.954|5.289|36.507|2.397|16.761|74.726|3.786|22.626|31.336|1.583
08.01.2020|15.603|12.923|5.604|17.464|23.406|3.275|3.381|25.265|29.778|2.924|3.392|7.633|1.637|6.558|31.788|18.428|20.906|1.948|1.209|5.544|2.565|15.092|44.797|5.955|5.288|36.821|2.403|16.834|74.892|3.820|22.739|31.478|1.598
09.01.2020|15.598|12.913|5.589|17.412|23.365|3.280|3.379|25.255|29.613|2.926|3.392|7.595|1.641|6.550|31.903|18.341|20.780|1.960|1.210|5.557|2.560|15.037|44.900|5.953|5.285|37.098|2.397|16.817|75.075|3.866|22.733|31.406|1.600
10.01.2020|15.662|12.918|5.592|17.428|23.346|3.291|3.381|25.265|29.790|2.933|3.394|7.567|1.655|6.567|32.108|18.496|20.778|1.964|1.211|5.588|2.558|15.065|45.117|5.950|5.286|37.128|2.395|16.879|75.335|3.875|22.780|31.422|1.598
13.01.2020|15.655|12.899|5.506|17.383|23.337|3.290|3.376|25.230|29.420|2.917|3.389|7.547|1.659|6.536|32.009|18.389|20.639|1.959|1.207|5.582|2.550|15.045|44.935|5.958|5.279|37.057|2.389|16.832|75.051|3.869|22.677|31.280|1.577
14.01.2020|15.615|12.863|5.463|17.316|23.365|3.288|3.366|25.155|29.383|2.910|3.379|7.560|1.656|6.527|31.954|18.335|20.566|1.956|1.202|5.555|2.543|14.972|44.730|5.958|5.263|36.861|2.390|16.792|74.822|3.844|22.634|31.235|1.569
15.01.2020|15.534|12.856|5.424|17.263|23.389|3.277|3.365|25.145|29.347|2.904|3.378|7.553|1.651|6.522|31.875|18.408|20.539|1.950|1.200|5.537|2.544|14.874|44.486|5.950|5.259|36.741|2.381|16.751|74.588|3.834|22.567|31.156|1.569
16.01.2020|15.622|12.870|5.411|17.294|23.440|3.276|3.368|25.170|29.448|2.900|3.380|7.540|1.654|6.526|31.779|18.372|20.497|1.945|1.199|5.546|2.541|15.012|44.330|5.947|5.266|36.587|2.382|16.753|74.222|3.856|22.538|31.135|1.562
17.01.2020|15.599|12.856|5.418|17.345|23.424|3.301|3.365|25.145|29.546|2.914|3.381|7.493|1.660|6.553|31.856|18.301|20.558|1.952|1.207|5.584|2.543|14.987|44.466|5.935|5.259|36.837|2.385|16.808|74.565|3.853|22.638|31.293|1.566
20.01.2020|15.555|12.847|5.420|17.345|23.400|3.301|3.362|25.125|29.466|2.918|3.379|7.469|1.663|6.555|31.890|18.259|20.571|1.954|1.214|5.581|2.543|14.958|44.480|5.921|5.257|36.833|2.380|16.816|74.672|3.830|22.667|31.294|1.560
21.01.2020|15.500|12.816|5.373|17.269|23.332|3.268|3.354|25.065|29.477|2.902|3.370|7.475|1.651|6.526|31.675|18.189|20.493|1.931|1.204|5.539|2.523|14.916|44.202|5.906|5.245|36.472|2.375|16.717|74.183|3.801|22.552|31.135|1.558
22.01.2020|15.535|12.851|5.409|17.379|23.365|3.285|3.363|25.135|29.763|2.917|3.379|7.489|1.661|6.566|31.866|18.240|20.613|1.947|1.211|5.577|2.524|14.979|44.486|5.931|5.259|36.591|2.382|16.808|74.621|3.827|22.668|31.275|1.574
23.01.2020|15.582|12.864|5.441|17.237|23.441|3.272|3.367|25.160|29.778|2.919|3.380|7.462|1.664|6.563|31.812|18.258|20.707|1.943|1.212|5.574|2.524|14.980|44.531|5.929|5.265|36.663|2.385|16.806|74.308|3.826|22.686|31.286|1.577
24.01.2020|15.601|12.864|5.460|17.361|23.490|3.287|3.367|25.160|29.836|2.933|3.382|7.488|1.680|6.603|31.985|18.311|20.801|1.952|1.214|5.608|2.532|15.081|44.851|5.911|5.264|36.910|2.388|16.875|74.619|3.839|22.798|31.452|1.586
27.01.2020|15.487|12.899|5.430|17.351|23.602|3.299|3.376|25.230|29.903|2.942|3.390|7.475|1.682|6.613|32.038|18.362|21.004|1.943|1.209|5.629|2.514|15.002|44.984|5.907|5.277|36.543|2.385|16.858|74.490|3.848|22.883|31.511|1.573
28.01.2020|15.482|12.895|5.459|17.372|23.564|3.304|3.375|25.220|29.810|2.947|3.390|7.480|1.680|6.631|32.146|18.382|21.013|1.944|1.216|5.608|2.503|14.973|45.132|5.902|5.278|36.601|2.379|16.870|74.354|3.852|22.916|31.538|1.564
29.01.2020|15.465|12.887|5.470|17.389|23.492|3.303|3.373|25.205|29.801|2.948|3.387|7.471|1.681|6.626|32.144|18.547|20.995|1.944|1.223|5.616|2.506|14.942|45.071|5.884|5.276|36.542|2.383|16.837|73.983|3.845|22.913|31.509|1.568
30.01.2020|15.385|12.909|5.392|17.328|23.619|3.301|3.379|25.250|29.993|2.947|3.393|7.463|1.678|6.631|31.954|18.580|21.036|1.920|1.220|5.600|2.482|14.878|44.892|5.890|5.286|36.243|2.373|16.800|73.391|3.830|22.894|31.480|1.552
31.01.2020|15.285|12.889|5.346|17.234|23.577|3.288|3.373|25.210|29.950|2.937|3.386|7.480|1.670|6.618|31.949|18.496|20.947|1.908|1.212|5.566|2.474|14.756|44.713|5.862|5.274|35.844|2.361|16.704|73.180|3.813|22.810|31.385|1.528
03.02.2020|15.239|12.872|5.338|17.187|23.590|3.243|3.369|25.175|29.697|2.930|3.383|7.456|1.655|6.602|31.866|18.336|20.961|1.908|1.210|5.530|2.454|14.717|44.722|5.859|5.268|35.659|2.357|16.630|73.285|3.802|22.750|31.325|1.527
04.02.2020|15.295|12.857|5.384|17.139|23.495|3.253|3.365|25.145|29.623|2.931|3.375|7.477|1.660|6.596|31.947|18.234|20.863|1.918|1.216|5.536|2.466|14.702|44.822|5.882|5.265|35.987|2.366|16.611|73.552|3.806|22.761|31.344|1.540
05.02.2020|15.372|12.807|5.376|17.109|23.361|3.263|3.352|25.050|29.657|2.928|3.360|7.461|1.662|6.598|31.948|18.139|20.706|1.923|1.223|5.522|2.476|14.733|44.802|5.895|5.248|36.301|2.376|16.482|73.420|3.798|22.732|31.288|1.544
06.02.2020|15.290|12.729|5.347|17.043|23.235|3.247|3.332|24.895|29.346|2.915|3.339|7.393|1.661|6.590|31.802|18.027|20.599|1.910|1.215|5.490|2.458|14.650|44.603|5.865|5.223|35.841|2.359|16.344|72.801|3.779|22.627|31.121|1.527
07.02.2020|15.245|12.798|5.318|17.136|23.380|3.264|3.350|25.030|29.545|2.939|3.358|7.402|1.669|6.659|31.938|18.151|20.772|1.911|1.219|5.511|2.462|14.642|44.840|5.868|5.256|35.752|2.374|16.406|72.904|3.810|22.817|31.340|1.524
