Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
04.01.2021|16.411|13.365|4.134|16.735|24.181|3.289|3.514|26.140|28.990|2.742|3.460|7.236|1.530|6.630|29.112|16.724|20.646|1.962|1.076|5.306|2.503|15.319|44.262|5.748|5.367|28.927|2.591|16.138|71.162|2.886|21.259|30.619|1.459
05.01.2021|16.463|13.408|4.002|16.759|24.273|3.306|3.525|26.225|29.030|2.756|3.469|7.279|1.536|6.677|29.181|16.800|20.770|1.963|1.066|5.320|2.505|15.392|44.429|5.767|5.382|28.611|2.608|16.206|71.292|2.891|21.369|30.959|1.424
06.01.2021|16.517|13.369|4.015|16.711|24.164|3.283|3.514|26.145|28.849|2.733|3.459|7.304|1.525|6.655|28.984|16.727|20.586|1.952|1.073|5.284|2.519|15.451|44.092|5.789|5.366|28.779|2.597|16.093|70.848|2.888|21.191|30.683|1.412
07.01.2021|16.509|13.367|4.013|16.758|24.138|3.294|3.515|26.145|28.992|2.747|3.455|7.308|1.531|6.696|29.036|16.835|20.566|1.948|1.078|5.275|2.528|15.465|44.285|5.805|5.367|28.670|2.599|16.088|70.939|2.906|21.299|30.899|1.391
08.01.2021|16.607|13.378|3.981|16.835|24.167|3.305|3.518|26.165|29.039|2.755|3.456|7.276|1.523|6.712|29.136|16.826|20.559|1.956|1.069|5.297|2.543|15.505|44.379|5.800|5.372|28.816|2.603|16.126|71.017|2.907|21.359|30.870|1.398
11.01.2021|16.622|13.417|3.942|16.872|24.211|3.330|3.528|26.240|29.077|2.782|3.462|7.274|1.527|6.784|29.365|16.703|20.700|1.964|1.070|5.324|2.530|15.507|44.866|5.794|5.388|28.895|2.604|16.218|71.588|2.898|21.574|31.178|1.395
12.01.2021|16.636|13.391|3.933|16.890|24.223|3.333|3.521|26.190|29.285|2.777|3.454|7.282|1.524|6.813|29.397|16.767|20.664|1.960|1.078|5.307|2.524|15.460|44.818|5.788|5.376|29.078|2.596|16.221|71.477|2.877|21.535|31.016|1.398
13.01.2021|16.636|13.384|4.035|16.898|24.208|3.326|3.518|26.175|29.414|2.775|3.453|7.266|1.530|6.851|29.407|16.779|20.702|1.960|1.084|5.320|2.532|15.439|44.765|5.783|5.372|29.151|2.582|16.218|71.621|2.891|21.515|31.001|1.405
14.01.2021|16.744|13.390|4.100|17.032|24.240|3.341|3.520|26.190|29.448|2.786|3.461|7.283|1.537|6.875|29.540|16.724|20.754|1.969|1.089|5.353|2.540|15.541|44.979|5.772|5.374|29.398|2.592|16.278|71.952|2.927|21.604|31.156|1.422
15.01.2021|16.683|13.374|4.106|16.968|24.289|3.333|3.516|26.160|29.392|2.783|3.463|7.267|1.539|6.614|29.511|16.726|20.802|1.962|1.089|5.345|2.537|15.482|44.925|5.765|5.368|29.380|2.582|16.242|71.840|2.899|21.577|31.108|1.417
18.01.2021|16.657|13.387|4.097|16.988|24.364|3.342|3.520|26.185|29.397|2.800|3.468|7.265|1.543|6.711|29.611|16.700|20.918|1.961|1.092|5.357|2.521|15.424|45.156|5.770|5.372|29.224|2.579|16.287|72.012|2.892|21.706|31.265|1.416
19.01.2021|16.638|13.375|4.096|16.939|24.290|3.329|3.516|26.160|29.360|2.781|3.458|7.297|1.533|6.644|29.474|16.662|20.736|1.956|1.100|5.324|2.530|15.371|44.908|5.768|5.367|29.249|2.591|16.233|71.813|2.897|21.562|31.058|1.444
20.01.2021|16.678|13.359|4.058|16.993|24.234|3.338|3.512|26.125|29.508|2.786|3.454|7.310|1.539|6.636|29.571|16.619|20.799|1.959|1.099|5.339|2.531|15.399|44.959|5.764|5.360|29.322|2.577|16.276|72.006|2.900|21.594|31.094|1.443
21.01.2021|16.689|13.343|4.070|17.002|24.225|3.322|3.508|26.095|29.447|2.769|3.450|7.301|1.533|6.560|29.408|16.642|20.756|1.951|1.094|5.325|2.545|15.482|44.673|5.762|5.354|29.110|2.588|16.228|71.703|2.914|21.461|30.911|1.451
22.01.2021|16.584|13.370|3.977|16.923|24.273|3.319|3.515|26.150|29.367|2.775|3.457|7.313|1.533|6.555|29.458|16.656|20.723|1.945|1.079|5.320|2.531|15.433|44.746|5.760|5.365|28.705|2.594|16.193|71.676|2.899|21.509|31.028|1.423
25.01.2021|16.584|13.337|3.926|16.870|24.213|3.316|3.505|26.080|29.374|2.769|3.447|7.299|1.531|6.568|29.430|16.611|20.691|1.946|1.074|5.307|2.521|15.475|44.641|5.744|5.350|28.454|2.592|16.179|71.592|2.902|21.463|30.960|1.411
26.01.2021|16.599|13.334|3.965|16.889|24.172|3.321|3.506|26.080|29.405|2.771|3.448|7.272|1.527|6.570|29.453|16.611|20.710|1.947|1.072|5.305|2.510|15.529|44.678|5.736|5.349|28.575|2.589|16.199|71.652|2.922|21.479|30.968|1.417
27.01.2021|16.528|13.308|4.004|16.841|24.193|3.320|3.499|26.025|29.442|2.771|3.443|7.211|1.529|6.580|29.429|16.576|20.677|1.941|1.064|5.311|2.489|15.449|44.665|5.717|5.338|28.373|2.573|16.177|71.605|2.907|21.484|30.962|1.411
28.01.2021|16.410|13.352|3.965|16.784|24.220|3.341|3.512|26.115|29.474|2.786|3.451|7.247|1.535|6.558|29.568|16.740|20.692|1.934|1.056|5.339|2.482|15.355|44.930|5.743|5.356|28.268|2.577|16.204|71.915|2.924|21.600|31.114|1.417
29.01.2021|16.449|13.305|3.908|16.767|24.095|3.335|3.499|26.020|29.440|2.766|3.438|7.260|1.528|6.536|29.427|16.669|20.481|1.921|1.060|5.304|2.515|15.431|44.610|5.743|5.337|28.341|2.572|16.141|71.703|2.931|21.442|30.848|1.422
01.02.2021|16.406|13.279|3.948|16.783|24.008|3.324|3.492|25.970|29.442|2.772|3.428|7.288|1.533|6.535|29.395|16.615|20.486|1.922|1.059|5.316|2.500|15.417|44.708|5.761|5.329|28.347|2.555|16.138|71.682|2.989|21.489|30.962|1.430
02.02.2021|16.345|13.243|3.989|16.793|23.962|3.332|3.482|25.900|29.401|2.774|3.416|7.283|1.533|6.519|29.465|16.592|20.481|1.927|1.063|5.317|2.503|15.422|44.887|5.762|5.314|28.480|2.549|16.146|71.709|2.991|21.506|30.932|1.438
03.02.2021|16.431|13.254|4.036|16.866|24.001|3.341|3.485|25.925|29.410|2.784|3.424|7.291|1.541|6.532|29.598|16.608|20.541|1.934|1.071|5.327|2.504|15.533|44.925|5.772|5.320|28.436|2.559|16.186|71.820|3.010|21.579|30.985|1.445
04.02.2021|16.465|13.240|4.028|16.860|23.935|3.340|3.482|25.895|29.532|2.784|3.420|7.282|1.540|6.548|29.618|16.589|20.513|1.931|1.066|5.319|2.505|15.536|44.905|5.762|5.311|28.572|2.555|16.160|71.826|3.029|21.587|30.977|1.437
05.02.2021|16.372|13.194|3.956|16.817|23.836|3.328|3.470|25.805|29.480|2.778|3.413|7.237|1.535|6.540|29.534|16.659|20.362|1.918|1.060|5.290|2.504|15.384|44.767|5.732|5.294|28.788|2.550|16.096|71.531|3.045|21.534|30.863|1.438
08.02.2021|16.400|13.156|3.963|16.751|23.736|3.318|3.460|25.735|29.300|2.761|3.404|7.183|1.529|6.518|29.335|16.635|20.270|1.909|1.059|5.264|2.505|15.374|44.491|5.741|5.279|28.785|2.544|16.017|71.288|3.017|21.401|30.673|1.432
09.02.2021|16.413|13.159|3.928|16.702|23.799|3.304|3.461|25.740|29.308|2.743|3.401|7.172|1.519|6.533|29.158|16.703|20.336|1.910|1.058|5.253|2.509|15.373|44.266|5.751|5.280|28.726|2.547|16.012|71.021|2.998|21.263|30.528|1.438
10.02.2021|16.471|13.208|3.938|16.781|23.907|3.304|3.473|25.830|29.473|2.748|3.415|7.225|1.523|6.549|29.249|16.643|20.334|1.927|1.060|5.267|2.525|15.372|44.333|5.763|5.297|28.863|2.563|16.063|71.230|3.021|21.301|30.697|1.449
11.02.2021|16.477|13.176|3.971|16.756|23.856|3.288|3.465|25.770|29.368|2.737|3.405|7.215|1.519|6.521|29.155|16.540|20.273|1.924|1.065|5.249|2.512|15.367|44.177|5.731|5.286|28.847|2.555|16.029|71.067|3.023|21.219|30.601|1.452
